,"(p,q)x(P,Q)",AIC
0,"(4, 1, 0, 3)",-2336.444724807009
1,"(4, 0, 3, 2)",-2332.6578801335877
2,"(4, 0, 0, 3)",-2331.206401008685
3,"(5, 1, 3, 2)",-2330.737776763048
4,"(6, 0, 0, 3)",-2329.1085112545434
5,"(5, 0, 0, 3)",-2327.794205462699
6,"(5, 0, 2, 2)",-2326.5626276293374
7,"(5, 2, 3, 2)",-2323.5054614753108
8,"(4, 2, 3, 2)",-2322.615312720394
9,"(4, 5, 0, 3)",-2318.1529210323242
10,"(5, 2, 3, 3)",-2318.044943533459
11,"(4, 0, 2, 2)",-2316.377780723101
12,"(6, 2, 0, 3)",-2315.984221025399
13,"(5, 0, 3, 2)",-2315.611347166109
14,"(2, 6, 2, 3)",-2315.433960733508
15,"(4, 1, 3, 2)",-2315.230241561952
16,"(5, 5, 3, 2)",-2314.023936518098
17,"(4, 4, 3, 2)",-2313.200502285671
18,"(4, 5, 2, 3)",-2312.874385664247
19,"(5, 1, 2, 3)",-2312.8570713842532
20,"(4, 0, 2, 3)",-2311.907316906341
21,"(5, 1, 2, 2)",-2310.57924030276
22,"(2, 5, 0, 3)",-2310.1408476795577
23,"(5, 5, 0, 3)",-2310.124769747773
24,"(4, 1, 3, 3)",-2309.9006398973543
25,"(1, 6, 0, 3)",-2309.8775137896014
26,"(5, 0, 3, 3)",-2309.6856267583235
27,"(5, 0, 2, 3)",-2309.1978735668345
28,"(5, 1, 0, 3)",-2308.288994555361
29,"(4, 2, 3, 3)",-2306.017086672492
30,"(4, 0, 1, 3)",-2304.763679683312
31,"(5, 6, 0, 3)",-2304.1925791184062
32,"(3, 6, 0, 3)",-2302.9410739562513
33,"(4, 1, 2, 3)",-2302.857293208887
34,"(3, 3, 3, 2)",-2302.254276180196
35,"(4, 6, 0, 3)",-2301.9928357756735
36,"(2, 5, 3, 2)",-2300.5322890324487
37,"(4, 2, 1, 3)",-2299.5185933840053
38,"(0, 6, 0, 3)",-2299.4005549962867
39,"(1, 6, 1, 2)",-2298.4212302460037
40,"(5, 2, 2, 3)",-2297.4472434080103
41,"(4, 4, 2, 3)",-2296.4576101106595
42,"(0, 5, 3, 2)",-2295.4353575752957
43,"(1, 5, 0, 3)",-2295.2232933396667
44,"(4, 6, 2, 3)",-2295.205551396207
45,"(2, 6, 0, 3)",-2294.810744015973
46,"(2, 4, 0, 3)",-2294.4888570717812
47,"(6, 0, 2, 3)",-2294.0943707808237
48,"(6, 0, 3, 2)",-2293.411846510553
49,"(1, 6, 2, 3)",-2293.2301659638165
50,"(2, 3, 0, 3)",-2292.5895236373676
51,"(6, 4, 3, 2)",-2292.519200339206
52,"(2, 4, 1, 2)",-2292.176593263447
53,"(1, 6, 3, 3)",-2291.620816747508
