,"(p,q)x(P,Q)",AIC
0,"(5, 5, 0, 3)",-2850.1235879218675
1,"(4, 5, 0, 3)",-2843.7516074937603
2,"(6, 2, 3, 3)",-2842.0946076206465
3,"(6, 0, 3, 3)",-2840.188132953191
4,"(5, 4, 3, 3)",-2833.8363788963666
5,"(5, 0, 3, 3)",-2832.4174401826563
6,"(2, 0, 3, 2)",-2831.5946567583946
7,"(3, 5, 0, 3)",-2828.3625670704478
8,"(6, 3, 3, 3)",-2827.1832909969808
9,"(5, 6, 3, 3)",-2824.4514732246453
10,"(6, 4, 3, 3)",-2823.1637206399982
11,"(5, 4, 0, 3)",-2823.1247608178633
12,"(4, 5, 3, 2)",-2822.9028312944074
13,"(6, 1, 3, 3)",-2822.7979983737414
14,"(4, 1, 3, 3)",-2822.622206650122
15,"(1, 4, 1, 3)",-2821.4432051545655
16,"(6, 5, 0, 3)",-2821.3228591785846
17,"(5, 1, 3, 3)",-2818.2505109233816
18,"(4, 6, 3, 3)",-2818.0998223289334
19,"(6, 4, 0, 3)",-2818.052917979447
20,"(7, 5, 0, 3)",-2817.869412596881
21,"(6, 5, 3, 3)",-2817.438591381536
22,"(4, 5, 1, 3)",-2816.1060145329484
23,"(6, 4, 3, 2)",-2815.1131314528284
24,"(4, 0, 3, 3)",-2814.3257682970825
25,"(4, 5, 3, 3)",-2813.4574922607335
26,"(3, 0, 3, 3)",-2811.4553374791994
27,"(0, 5, 0, 3)",-2810.7685361678205
28,"(6, 1, 2, 3)",-2810.7048039572137
29,"(1, 6, 0, 3)",-2808.7969870613124
30,"(4, 4, 3, 3)",-2807.0733841857564
31,"(5, 5, 3, 3)",-2806.0193278464867
32,"(3, 6, 3, 3)",-2805.666477565868
33,"(3, 5, 3, 3)",-2805.642500890216
34,"(6, 2, 2, 3)",-2805.372592076349
35,"(2, 0, 3, 3)",-2804.8432606233814
36,"(7, 6, 0, 3)",-2804.62057812139
37,"(5, 3, 3, 2)",-2804.471029281294
38,"(4, 4, 0, 3)",-2804.364270889447
39,"(3, 1, 3, 3)",-2804.0061584326586
40,"(7, 4, 0, 3)",-2800.4136613449004
41,"(6, 6, 0, 3)",-2799.508414490161
42,"(6, 4, 2, 3)",-2799.0147434990436
43,"(1, 4, 2, 3)",-2797.12131413212
